node1,node2,flow,degree,class
9297,21051,1.0,2,1
8057,9280,-1.0,4,1
6676,18208,1.0,2,1
9279,21021,1.0,3,1
12855,25419,1.0,2,1
12856,25420,1.0,2,1
12857,25421,1.0,2,1
12859,25422,1.0,3,1
6683,9355,1.0,4,1
4794,9277,-1.0,5,1
12860,25423,1.0,3,1
12861,25424,1.0,2,1
12862,25427,1.0,2,1
12867,25432,1.0,2,1
12868,25434,1.0,4,1
9265,21014,1.0,2,1
6694,18217,1.0,2,1
1980,5750,1.0,4,1
12870,25439,1.0,2,1
6696,18219,1.0,2,1
6697,8262,1.0,3,1
9281,20790,1.0,5,1
9282,13565,1.0,4,1
6665,18194,1.0,2,1
12841,25397,1.0,2,1
12843,25398,1.0,2,1
12845,25401,1.0,3,1
6662,8443,1.0,4,1
12847,16476,1.0,4,1
12848,25404,1.0,2,1
12849,25405,1.0,2,1
10022,12854,-1.0,3,1
9289,21042,1.0,2,1
2419,9288,-1.0,5,1
2017,14615,1.0,2,1
12851,17809,1.0,4,1
3973,9287,-1.0,4,1
9285,13949,1.0,4,1
9284,21031,1.0,2,1
12853,25411,1.0,3,1
6673,18202,1.0,2,1
12937,25518,1.0,3,1
4621,12940,-1.0,3,1
12809,25354,1.0,2,1
13018,25626,1.0,2,1
1754,10311,1.0,4,1
9112,20874,1.0,2,1
9110,20873,1.0,3,1
665,13021,-1.0,5,1
9106,20869,1.0,2,1
6851,18380,1.0,2,1
9105,20868,1.0,3,1
9104,20865,1.0,2,1
13023,23855,1.0,3,1
13024,17083,1.0,3,1
9103,20863,1.0,2,1
13025,13434,1.0,5,1
5921,13026,-1.0,4,1
13027,20535,1.0,4,1
9099,20859,1.0,2,1
13029,25634,1.0,3,1
1739,11080,1.0,3,1
13019,25627,1.0,4,1
6846,18368,1.0,2,1
13031,25635,1.0,2,1
13017,25623,1.0,2,1
6829,7000,1.0,4,1
6831,18361,1.0,3,1
13000,25605,1.0,2,1
13001,21028,1.0,4,1
1611,1780,-1.0,4,1
13003,25607,1.0,3,1
13006,25608,1.0,2,1
13007,25610,1.0,5,1
6839,13320,1.0,4,1
6840,18365,1.0,2,1
6841,18366,1.0,4,1
13010,25615,1.0,2,1
13011,13318,1.0,5,1
13013,25618,1.0,3,1
13014,25619,1.0,2,1
13015,25620,1.0,2,1
6845,11656,1.0,3,1
13016,25622,1.0,2,1
6856,8268,1.0,3,1
9187,20942,1.0,2,1
9084,20835,1.0,2,1
9082,20830,1.0,3,1
13048,25658,1.0,2,1
13049,20725,1.0,3,1
9081,10214,1.0,3,1
1710,1780,1.0,4,1
13051,15902,1.0,3,1
9076,20820,1.0,2,1
13052,25666,1.0,2,1
13053,25667,1.0,2,1
13054,25670,1.0,3,1
6880,18415,1.0,3,1
6881,18416,1.0,2,1
6882,18418,1.0,3,1
13056,25674,1.0,2,1
1690,11559,1.0,4,1
6884,18420,1.0,2,1
6885,18421,1.0,2,1
9070,20812,1.0,2,1
13058,25676,1.0,4,1
13059,25677,1.0,2,1
9083,20834,1.0,2,1
13033,25638,1.0,2,1
2144,6872,-1.0,67,0
6858,10466,1.0,4,1
9096,20856,1.0,2,1
1042,9095,-1.0,4,1
13034,25641,1.0,4,1
13035,25642,1.0,2,1
1732,14519,1.0,2,1
3553,9091,-1.0,4,1
7092,13036,-1.0,5,1
9086,16568,1.0,5,1
10540,13039,-1.0,3,1
13040,18100,1.0,3,1
13041,25649,1.0,3,1
13042,25650,1.0,4,1
13043,25652,1.0,3,1
10423,13044,-1.0,5,1
13045,25653,1.0,2,1
6871,18402,1.0,3,1
13046,25654,1.0,2,1
9024,12999,-1.0,5,1
6775,18309,1.0,3,1
8419,12960,-1.0,3,1
6778,18312,1.0,2,1
6779,18314,1.0,2,1
9169,19897,1.0,3,1
12963,25544,1.0,2,1
9168,20926,1.0,2,1
9167,20925,1.0,4,1
12964,25547,1.0,2,1
12965,25548,1.0,3,1
6782,18316,1.0,4,1
9164,20922,1.0,2,1
6784,18319,1.0,3,1
12966,25550,1.0,3,1
921,12967,-1.0,150,0
11093,12969,-1.0,5,1
12970,25552,1.0,2,1
12971,25553,1.0,3,1
